accountsservice 22.08.8-2
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
aic94xx-firmware 30-9
alacritty 0.10.1-1
alsa-firmware 1.2.4-2
alsa-utils 1.2.6-1
amd-ucode 20220411.705f19a-1
appstream 0.15.3-1
arandr 0.1.10-7
arc-gtk-theme 20220405-1
arch-install-scripts 24-2
arcolinux-alacritty-git 22.02-02
arcolinux-bspwm-git 22.01-01
arcolinux-config-all-desktops-git 21.07-01
arcolinux-dconf-all-desktops-git 21.09-01
arcolinux-grub-theme-vimix-git 20211231-6
arcolinux-gtk3-sardi-arc-git 21.07-01
arcolinux-keyring 20230919-6
arcolinux-local-xfce4-git 21.07-01
arcolinux-meta-logout 21.07-01
arcolinux-mirrorlist-git 22.04-01
arcolinux-neofetch-git 21.07-01
arcolinux-paru-git 21.07-01
arcolinux-polybar-git 22.01-04
arcolinux-rofi-git 21.09-02
arcolinux-rofi-themes-git 21.07-01
arcolinux-root-git 22.03-01
arcolinux-sddm-simplicity-git 21.09-04
arcolinux-systemd-services-git 21.08-05
arcolinux-tweak-tool-git 22.04-01
arcolinux-volumeicon-git 21.07-01
arcolinux-wallpapers-git 22.03-01
arcolinux-xfce-git 22.02-02
arcolinuxd-system-config-git 22.04-01
arcolinuxd-welcome-app-git 22.02-01
asciinema 2.1.0-2
autoconf 2.71-1
automake 1.16.5-1
awesome-terminal-fonts 1.1.0-4
base 2-2
bash-completion 2.11-2
bat 0.20.0-1
bibata-cursor-theme-bin 1.1.2-1
bind 9.18.1-1
binutils 2.38-4
bison 3.8.2-3
blueberry 1.4.6-1
bluez-utils 5.64-2
broadcom-wl-dkms 6.30.223.271-29
bspwm 0.9.10-1
btrfs-assistant 1.4-1
btrfs-progs 5.16.2-1
chaotic-keyring 20220220-1
clonezilla 3.35.2-3
corectrl 1.2.3-1
cryptsetup 2.4.3-2
ddrescue 1.26-1
dex 0.9.0-1
dhclient 4.4.3-1
dialog 1:1.3_20220414-1
